Date,Close,Open,High,Low,Volume,Change,RSI_14,EMA_12,EMA_26,MACD,MACD_signal,MACD_hist,Return,Roll_Return_20,Roll_Vol_20,Regime,Regime_Bear,Regime_Bull,Regime_Sideways
2014-11-21,31494.84,31257.68,31545.27,31257.68,89550000.0,0.82,63.94576270680443,31321.428131303244,30890.62604167222,430.8020896310227,405.3100887223321,25.49200090869056,0.008188471860850921,0.0025587873471275336,0.00722222391526602,Bull,False,True,False
2014-11-24,31316.96,31498.35,31615.59,31303.1,115760000.0,-0.56,60.26320670889819,31320.74072648736,30922.20633488169,398.5343916056736,403.9549492990004,-5.420557693326828,-0.005647909308318488,0.0021348773590216864,0.007450651719497703,Bull,False,True,False
2014-11-25,31223.74,31314.97,31314.97,30943.32,103080000.0,-0.3,58.36621353259814,31305.817537797,30944.54216192749,361.2753758695071,395.4190346131018,-34.1436587435947,-0.00297666184712686,0.0018638799329888545,0.007536912443756631,Bull,False,True,False
2014-11-26,31454.47,31241.66,31534.9,31181.65,145710000.0,0.74,61.589118200161614,31328.68714736669,30982.314594377305,346.37255298938544,385.6097382883586,-39.237185298973145,0.007389569603128976,0.0020000078364220244,0.0076143943255204795,Bull,False,True,False
2014-11-27,31270.1,31480.18,31545.14,31227.07,117330000.0,-0.59,57.74259198351297,31319.673740079503,31003.63203183084,316.0417082486674,371.6961322804204,-55.65442403175297,-0.005861488049234476,0.001728991070863156,0.0078000535383161715,Bull,False,True,False
2014-11-28,31197.98,31270.81,31282.59,31075.48,166380000.0,-0.23,56.262349977742105,31300.95162622112,31018.02817762115,282.9234485999696,353.9415955443302,-71.01814694436064,-0.002306356551466049,0.001799575137113696,0.007754421939441978,Bull,False,True,False
2014-12-01,31299.72,31188.24,31441.22,31139.4,238690000.0,0.33,57.90188173010253,31300.762145264023,31038.8942385381,261.8679067259218,335.5268577806486,-73.6589510547268,0.003261108571772864,0.0018117832971918824,0.007756631260092478,Bull,False,True,False
2014-12-02,31680.72,31425.11,31721.83,31425.11,201900000.0,1.22,63.43033114640743,31359.21719983879,31086.43688753528,272.78031230350825,322.97754868522054,-50.19723638171229,0.012172632854223542,0.0021349569108745415,0.008056413175257097,Bull,False,True,False
2014-12-03,31872.73,31709.37,31932.06,31709.37,257480000.00000003,0.61,65.8633481005379,31438.21916909436,31144.680821791928,293.538347302434,317.0897084086632,-23.55136110622925,0.006060783972081429,0.002081174576538536,0.008024795781734182,Bull,False,True,False
2014-12-04,32090.93,31910.63,32236.52,31910.63,270540000.0,0.68,68.43354010953996,31538.63622000292,31214.77335351105,323.86286649187605,318.4443400253058,5.418526466570256,0.006845977737081288,0.002308301224756115,0.008095391197804199,Bull,False,True,False
2014-12-05,32148.78,32100.45,32315.56,32086.01,194560000.0,0.18,69.09784389603678,31632.504493848628,31283.959031028746,348.54546281988223,324.4645645842211,24.080898235661152,0.0018026900435730298,0.0019642752940070562,0.007955206621157042,Bull,False,True,False
2014-12-08,32010.33,32152.96,32206.12,31979.63,120380000.0,-0.43,65.54283764558366,31690.631494794998,31337.76428798958,352.86720680541475,330.1450930284599,22.72211377695487,-0.004306539781602781,0.0011802616818252288,0.007749066585400886,Bull,False,True,False
2014-12-09,32084.16,32010.76,32098.6,31815.83,209730000.0,0.23,66.53169618227845,31751.17434174961,31393.05285924961,358.1214824999988,335.7403709227677,22.381111577231135,0.002306442951384602,0.0012607393206173156,0.007752139701861824,Bull,False,True,False
2014-12-10,31781.65,32108.98,32186.06,31760.72,173170000.0,-0.94,59.05357646658136,31755.86290455736,31421.83783263853,334.0250719188298,335.3973111219801,-1.3722392031503432,-0.009428640176336156,0.0002692877485741374,0.007789628060732242,Bull,False,True,False
2014-12-11,31779.75,31841.93,32076.33,31755.28,156840000.0,-0.01,59.00871447805008,31759.537842317768,31448.34984503568,311.1879972820898,330.55544835400207,-19.367451071912285,-5.9782925052709324e-05,0.0005625122277056416,0.007653400648090029,Bull,False,True,False
2014-12-12,31589.82,31748.2,31748.2,31543.29,133560000.0,-0.6,54.547702124194494,31733.42740503811,31458.829115773777,274.5982892643333,319.36401653606833,-44.765727271735045,-0.005976447265947704,0.00041913570055896463,0.0077520243613225775,Bull,False,True,False
2014-12-15,31690.1,31586.63,31720.94,31509.78,144750000.0,0.32,56.42097159870056,31726.76165041686,31475.960292383126,250.8013580337356,305.6514848356018,-54.850126801866224,0.003174440373512777,5.628267220231243e-06,0.007342719512042198,Bear,True,False,False
2014-12-16,30876.28,31688.27,31716.79,30808.39,186130000.0,-2.57,41.47992320530005,31595.9183195835,31431.539529984377,164.37878959912268,277.396945788306,-113.01815618918329,-0.025680575321630372,-0.001757238481259682,0.008974864263041605,Bear,True,False,False
2014-12-17,30667.14,30894.29,31141.13,30562.27,143460000.0,-0.68,38.647517000737416,31453.029347339885,31374.917342578126,78.11200476175873,237.5399575829965,-159.4279528212378,-0.006773484370526495,-0.0017051939685322592,0.008940844285433997,Bear,True,False,False
2014-12-18,30827.45,30708.38,31152.94,30708.38,126780000.0,0.52,41.921248514067024,31356.786370826056,31334.364206090857,22.42216473519875,194.51639901343697,-172.09423427823822,0.005227419315919191,-0.0006294174156856736,0.00837002473287838,Bear,True,False,False
2014-12-19,31011.15,30859.11,31034.79,30756.22,90680000.0,0.6,45.50936093833477,31303.611544545125,31310.42241304709,-6.81086850196516,154.25094551035653,-161.0618140123217,0.005958974874665346,-0.0007408922649949524,0.008260534503505992,Bear,True,False,False
2014-12-22,31491.62,31080.5,31597.63,31080.5,131700000.0,1.55,53.58614092297527,31332.535922307416,31323.844456525087,8.691465782329033,125.13904956475103,-116.447583782422,0.015493459610494753,0.00031617618094570974,0.00892547998401008,Bear,True,False,False
2014-12-23,31750.38,31531.04,31770.09,31490.67,169850000.0,0.82,57.260342184615865,31396.819626567813,31355.439681967677,41.379944600139424,108.38722857182871,-67.00728397168929,0.008216789101354705,0.000875848728369788,0.009058092924028989,Bull,False,True,False
2014-12-24,32000.01,31807.63,32019.45,31807.63,200250000.0,0.79,60.50826565248961,31489.61814555738,31403.18563145155,86.43251410582889,103.99628567862877,-17.56377157279988,0.00786226810513746,0.0008994836534702122,0.009076581274056902,Bull,False,True,False
2014-12-26,31993.01,32068.63,32141.74,31933.3,151930000.0,-0.02,60.36972415277975,31567.06304624086,31446.876325418103,120.18672082275587,107.23437270745418,12.952348115301705,-0.00021874993164061607,0.0011816205593499051,0.008942064721479855,Bull,False,True,False
2014-12-29,31906.74,31999.89,32075.63,31888.78,142480000.0,-0.27,58.58927432499168,31619.32103912688,31480.940301313058,138.38073781382263,113.46364572872788,24.91709208509475,-0.002696526522512177,0.0011621120607975988,0.008950496419670696,Bull,False,True,False
2014-12-30,31953.9,31921.52,31988.96,31765.31,146940000.0,0.15,59.29599272318203,31670.794725415053,31515.97435306765,154.8203723474071,121.73499105246373,33.085381294943375,0.0014780576141593116,0.0010729595129169212,0.008937359225879784,Bull,False,True,False
2014-12-31,32131.28,31971.05,32192.77,31971.05,145790000.0,0.56,61.92781691281982,31741.63861381274,31561.552549136708,180.08606467603022,133.40520577717703,46.68085889885319,0.00555112208525399,0.0007418839744684436,0.008621608044581145,Bull,False,True,False
2015-01-01,32503.8,32148.65,32503.81,32134.82,157340000.0,1.16,66.78499138211501,31858.8942116877,31631.348656608065,227.545555079636,152.23327563766884,75.31227944196712,0.011593686899494804,0.0010185291208391124,0.008885975523297295,Bull,False,True,False
2015-01-02,32731.61,32531.8,32776.39,32465.49,235200000.0,0.7,69.35941958325887,31993.15817912036,31712.84949685932,280.3086822610385,177.8483569623428,102.4603252986957,0.0070087189805501104,0.0010266661830125533,0.008891665381743321,Bull,False,True,False
2015-01-05,32757.79,32751.46,32866.4,32664.15,248960000.0,0.08,69.65054415654296,32110.793843871077,31790.25249709197,320.5413467791077,206.38695492569576,114.15439185341194,0.0007998384436329609,0.00097652360301555,0.008889886341649786,Bull,False,True,False
2015-01-06,32668.73,32713.51,32834.43,32558.7,173640000.0,-0.27,67.30769500190105,32196.630175583217,31855.324904714784,341.3052708684336,233.3706181142433,107.93465275419024,-0.0027187426257998526,0.0010559134608056965,0.008847210928241459,Bull,False,True,False
2015-01-07,32835.94,32685.41,32906.17,32639.84,175310000.0,0.51,69.3895647651212,32294.9855331858,31927.963059921098,367.0224732647002,260.10098914433473,106.9214841203655,0.0051183501776777,0.0011965088221203512,0.008890367081185844,Bull,False,True,False
2015-01-08,33117.47,32887.82,33142.93,32887.82,188420000.0,0.86,72.55817043614712,32421.521605003367,32016.07468511213,405.4469198912411,289.17017529371606,116.27674459752508,0.00857383708217263,0.0020966326850457907,0.008666513387356726,Bull,False,True,False
2015-01-09,33324.82,33163.45,33473.55,33163.45,230180000.0,0.63,74.6402959867367,32560.490588849003,32113.01878251123,447.4718063377732,320.83050150252745,126.6413048352457,0.0062610459071903435,0.0024126741266579433,0.008698926724228393,Bull,False,True,False
2015-01-12,33418.2,33341.54,33513.92,33339.28,150020000.0,0.28,75.54037004864992,32692.445882872235,32209.698872695582,482.7470101766485,353.21380323735167,129.5332069392968,0.002802115660339499,0.0028516022729723036,0.008471861615874876,Bull,False,True,False
2015-01-13,33371.29,33423.82,33423.82,33167.95,138600000.0,-0.14,74.11722404385989,32796.88343935343,32295.74265990332,501.1407794501065,382.79919847990266,118.34158097020384,-0.0014037261133154066,0.002622693948630894,0.008524367426288737,Bull,False,True,False
2015-01-14,33585.75,33403.95,33628.22,33403.95,217290000.0,0.64,76.3141937776099,32918.24752560675,32391.298759169746,526.9487664370063,411.6291120713234,115.31965436568288,0.006426482164759051,0.004228046822950365,0.005343380345099911,Bull,False,True,False
2015-01-15,33765.61,33688.29,33941.51,33688.29,220160000.0,0.54,78.00072563017221,33048.61098320571,32493.09959182384,555.511391381875,440.4055679334337,115.1058234484413,0.005355247389145612,0.0048344834109339705,0.004675603774949304,Bull,False,True,False
