Date,Close,Open,High,Low,Volume,Change,RSI_14,EMA_12,EMA_26,MACD,MACD_signal,MACD_hist
2025-05-15,119961.91,118871.13,119990.3,118871.13,310690000.0,1.2,59.12907560536278,115079.25618207797,114923.08810793646,156.1680741415039,-631.9569752857503,788.1250494272542
2025-05-16,119649.14,120292.95,120506.18,119541.15,235070000.0,-0.26,58.465842156467055,115782.31523098904,115273.16602586709,509.14920512195386,-403.73573920420955,912.8849443261633
2025-05-19,119689.63,120164.33,120285.55,119250.68,119530000.0,0.03,58.53069059219398,116383.44058006766,115600.31150543249,783.1290746351733,-166.362776436333,949.4918510715063
2025-05-20,118971.13,119891.17,119900.38,118527.09,108110000.0,-0.6,56.8348975235049,116781.54664467264,115850.00176428934,931.5448803832987,53.218754927593324,878.3261254557054
2025-05-21,119931.46,119239.34,120106.21,119128.39,280860000.0,0.81,58.56294815580899,117266.14869933837,116152.3320039716,1113.8166953667678,265.3383430154282,848.4783523513396
2025-05-22,119153.04,120234.81,120699.18,119062.03,223280000.0,-0.65,56.585491589750546,117556.43966867094,116374.60667034407,1181.8329983268632,448.63727407771523,733.1957242491479
2025-05-23,119102.67,119214.78,119542.52,118665.26,99800000.0,-0.04,56.45265703711036,117794.32125810618,116576.68543550376,1217.6358226024167,602.4369837826556,615.1988388197611
2025-05-26,118221.12,119211.88,119290.94,118150.28,350580000.0,-0.74,54.060731980435776,117859.98260301293,116698.49540324422,1161.487199768715,714.2470269798675,447.24017278884753
2025-05-27,118332.91,118533.7,118807.92,118143.68,414610000.0,0.09,54.32502287990964,117932.74066408786,116819.56315115205,1113.1775129358139,794.0331241710569,319.14438876475697
2025-05-29,118971.41,118512.41,119639.47,118481.98,315840000.0,0.54,55.88607175007494,118092.53594653588,116978.95921402967,1113.5767325062043,857.9418458380865,255.63488666811782
2025-05-30,119691.09,119138.77,119913.88,118771.84,211930000.0,0.6,57.64328180579306,118338.46733937651,117179.85779076822,1158.6095486082922,918.0753863921277,240.53416221616453
2025-06-02,118877.81,120211.57,120590.77,118672.84,164320000.0,-0.68,54.978122379630314,118421.4431333186,117305.6320284891,1115.811104829496,957.6225300796015,158.18857474989443
2025-06-03,120450.87,119129.52,120693.83,119129.52,315240000.0,1.32,58.93320187232938,118733.66265126958,117538.61261897138,1195.050032298197,1005.1080305233206,189.94200177487642
2025-06-04,121798.87,120954.38,121882.48,120896.13,292410000.0,1.12,62.01282714040747,119205.2330126127,117854.18723978833,1351.0457728243782,1074.295578983532,276.7501938408461
2025-06-05,121641.0,122106.82,122281.58,121517.9,407560000.0,-0.13,61.43180231593551,119579.96639528767,118134.69188869289,1445.274506594782,1148.491364505782,296.78314208899997
2025-06-10,122024.44,122152.23,122611.53,121589.9,235300000.0,0.32,62.35439483836048,119956.0392575511,118422.82137841934,1533.217879131771,1225.43666743098,307.7812117007911
2025-06-11,124352.68,123290.25,124588.17,123237.99,332590000.0,1.91,67.44645867536885,120632.44552562016,118862.07016520308,1770.375360417078,1334.4244060281997,435.95095438887824
2025-06-12,124093.12,124807.1,126718.28,123846.56,371980000.0,-0.21,66.3686608231371,121164.85698321706,119249.555338151,1915.3016450660652,1450.5998538357728,464.70179123029243
2025-06-13,122143.57,122679.01,123058.06,121604.6,238190000.0,-1.57,58.77188860324703,121315.42821656828,119463.92679458424,1851.5014219840377,1530.780167465426,320.72125451861166
2025-06-16,122225.36,122168.26,122903.34,121889.96,181440000.0,0.07,58.98400284948191,121455.41772171162,119668.47740239282,1786.9403193188045,1582.0121978361017,204.92812148270286
2025-06-17,121971.04,122367.28,122891.61,121815.39,203250000.0,-0.21,57.98502188533097,121534.74422606369,119839.03759480816,1695.7066312555253,1604.7510845199865,90.95554673553875
